Name,Type,Value,Regular,Destination Type,Destination Value,Destination Regular,Effective Channel,Mac Value,Windows Value,Linux Value,Target Port,Mac Regular,Windows Regular,Linux Regular, Endpoint Location
Node开发,目标域名,npmjs.org,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Github,目标域名,github.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Sketch,目标域名,api.sketchapp.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
微信开发者,目标IP/IP段,103.18.209.50;103.18.209.49;103.18.209.35;103.18.209.36;101.227.162.121;180.163.26.36;180.163.21.166;101.226.212.191;180.163.15.201;61.151.224.36;120.204.16.168;183.192.200.98;117.135.168.103,,,,,HTTP;HTTPS,,,,.,,,,任意位置
搜狗,应用程序路径,,,,,,应用程序通道,,%userprofile%\AppData\LocalLow;%ProgramData%\SogouInput,,.,,,,任意位置
钉钉,应用程序路径,,,,,,应用程序通道,,%userprofile%\AppData\LocalLow\DingTalk;%userprofile%\AppData\Roaming\DingTalk,,.,,,,任意位置
应用API相关,目标域名,api.hdtv.letv.com;api.taobao.com;alipaylog.com;openapi.baidu.com;diskapi.baidu.com;api.ad.xiaomi.com;api.platform.cp21.ott.cibntv.net;api.segment.io;clientservices.googleapis.com;update.googleapis.com;paloaltonetworks.d1.sc.omtrdc.net;cm.bilibili.com;api.bilibili.com;ms-trackingapi.phenompeople.com;api-iam.intercom.io,,,,,HTTP;HTTPS,,,,.,,,,任意位置
微软升级,目标域名,login.microsoftonline.com;microsoft.com;edge.activity.windows.com;login.partner.microsoftonline.cn,,,,,HTTP;HTTPS,,,,.,,,,任意位置
天空路径,应用程序路径,,,,,,应用程序通道,/Library/Application Support/SkyGuard/SkyGuard Endpoint,,,.,,,,任意位置
Cisco Anyconnect VPN,应用程序路径,,,,,,应用程序通道,,%programfiles(x86)%\Cisco\Cisco AnyConnect Secure Mobility Client,,.,,,,任意位置
文件访问白名单,应用程序路径,,,,,,应用程序通道,/Library/;/Applications/;/System/;~/Library/;~/Applications/;/usr/;/bin/;/sbin/;/var/log;/etc/;/lib/;/private/var/(?!spool).*;/var/(?!spool).*;/private/etc/;/proc/;/sys/;/dev/;~/.config;~/.ssh;/usr/bin/;/usr/sbin/,%SystemRoot%;%userprofile%\DS\B424\win_b64\code\bin;%userprofile%\AppData\Local\Temp\Temp1;%userprofile%\AppData\Local\Feishu;%userprofile%\Windows\LVUAAgentInstBaseRoot;%programfiles%;%programfiles(x86)%;%windir%;%Temp%;%userprofile%\AppData\LocalLow\Microsoft;%userprofile%\AppData\LocalLow\TENCENT;%userprofile%\AppData\Roaming\Microsoft;%userprofile%\Documents\Tencent Files;%userprofile%\Documents\WeChat Files;%userprofile%\Documents\Tencent;%allusersprofile%\Tencent;%allusersprofile%\microsoft;%localappdata%;%userprofile%\Links;%appdata%;%userprofile%\Application Data\utForpc;%allusersprofile%\Documents\Tencent\QQ;%allusersprofile%\Application Data\Microsoft;%userprofile%\Local Settings;%allusersprofile%\Documents\Tencent;%allusersprofile%\Application Data\Tencent;%allusersprofile%\Application Data\Microsoft;%userprofile%\Documents\WXWork;%userprofile%\AppData\LocalLow\SogouPY;C:\Users\Public\Documents\Tencent;%ProgramData%\SogouInput;%programfiles(x86)%\DingDing;%programfiles%\DingDing;%userprofile%\AppData\Roaming\DingTalk;%userprofile%\Local Settings\Application Data\Tencent;%programfiles%\Tencent;%programfiles(x86)%\Tencent;%programfiles%\JetBrains\IntelliJ IDEA 2018.3;%programfiles(x86)%\JetBrains\IntelliJ IDEA 2018.3;%SystemRoot%\System32\drivers\etc\hosts;%userprofile%\AppData\Local\postman;%userprofile%\Documents\Sunlogin Files;%userprofile%\Documents\搜狗拼音\SogouInput;%userprofile%\SogouInput;%userprofile%\DataCloak_DCube\Bin;%programfiles%\Adobe;%hikvision%\client\framework;%ProgramData%,/usr/;/bin/;/sbin/;/etc/;/lib/;/tmp/;/var/log/;/var/tmp;/var/cache;/var/db;/var/lib;/proc/;/sys/;/dev/;~/.config/;~/.ssh/;/usr/bin/;/usr/sbin/;/opt/apps;~/SkyGuard;~/.skyguard;/opt/;/opt/kingsoft;~/.local;~/.mozilla,.,,,/(?:root|home/\w+)/\.\w+,任意位置
网络共享,目标IP/IP段,10.115.204.12;10.115.204.18,,,,,网络共享,,,,.,,,,任意位置
01自定义-内部共享服务器,目标UNC路径,nevfnas01;nevfnas02;nevfnas03;nevfnas04;nevfnas05;nevfnas06;nevfnas07;nevfnas08;nevffil01;sh-dfs01;nj-ms003;p-hfhq-nas01;shnas;ws4cv815w8wy;ws4ce215dbd4;p-mu-fs-08;p-hfhq-plm-66,,,,,网络共享,,,,.,,,,任意位置
cad,应用程序路径,,,,,,应用程序通道,,%userprofile%\Autodesk\AutoCAD 2018;%allusersprofile%\Autodesk\AutoCAD 2018,,.,,,,任意位置
dacs,应用程序路径,,,,,,应用程序通道,/Library/Application/DACS.app/*;/usr/libexec/*;/System/Library/CoreServices/*;/usr/local/bin/mac_agent*;/usr/sbin/*;,%userprofile%\DataCloak_DCube\Bin;%allusersprofile%\DataCloak_DCube\Bin;*\DataCloak_DCube\*,,.,,,,任意位置
03自定义-文件夹白名单,目标UNC路径,C:\ProgramData\;/DingTalk.app/Contents/Frameworks/App.framework/;,,,,,本地存储;应用程序通道,,,,.,,,,任意位置
Git,应用程序路径,,,,,,应用程序通道,,D:\Program Files\Git;D:\Program Files\Git\bin;C:\Program Files\TortoiseGit\bin,,.,,,,任意位置
联软安全助手,应用程序路径,,,,,,应用程序通道,,C:\Windows\LVUAAgentInstBaseRoot,,.,,,,任意位置
heidisql,应用程序路径,,,,,,应用程序通道,,‪D:\Software\heidisql.exe,,.,,,,任意位置
